actual_gesture,predicted_gesture,confidence
OPEN PALM,OPEN PALM,96.66666666666667
OPEN PALM,OPEN PALM,95.33333333333334
OPEN PALM,OPEN PALM,96.0
OPEN PALM,OPEN PALM,95.33333333333334
OPEN PALM,OPEN PALM,95.33333333333334
OPEN PALM,OPEN PALM,96.66666666666667
OPEN PALM,OPEN PALM,95.33333333333334
OPEN PALM,OPEN PALM,96.0
OPEN PALM,OPEN PALM,98.0
OPEN PALM,OPEN PALM,98.0
OPEN PALM,OPEN PALM,98.0
OPEN PALM,OPEN PALM,96.0
OPEN PALM,OPEN PALM,96.0
OPEN PALM,OPEN PALM,96.0
OPEN PALM,OPEN PALM,96.66666666666667
OPEN PALM,OPEN PALM,96.66666666666667
OPEN PALM,OPEN PALM,97.33333333333334
OPEN PALM,OPEN PALM,98.0
OPEN PALM,OPEN PALM,98.0
OPEN PALM,OPEN PALM,98.0
OPEN PALM,OPEN PALM,97.33333333333334
OPEN PALM,OPEN PALM,97.33333333333334
OPEN PALM,OPEN PALM,98.0
OPEN PALM,OPEN PALM,95.33333333333334
OPEN PALM,OPEN PALM,96.66666666666667
OPEN PALM,OPEN PALM,96.66666666666667
OPEN PALM,OPEN PALM,97.33333333333334
OPEN PALM,OPEN PALM,96.0
OPEN PALM,OPEN PALM,96.0
OPEN PALM,OPEN PALM,96.0
OPEN PALM,OPEN PALM,96.0
OPEN PALM,OPEN PALM,95.33333333333334
OPEN PALM,OPEN PALM,95.33333333333334
OPEN PALM,OPEN PALM,94.0
OPEN PALM,OPEN PALM,94.66666666666667
OPEN PALM,OPEN PALM,94.66666666666667
OPEN PALM,OPEN PALM,94.66666666666667
OPEN PALM,OPEN PALM,94.66666666666667
OPEN PALM,OPEN PALM,94.66666666666667
OPEN PALM,OPEN PALM,94.66666666666667
OPEN PALM,OPEN PALM,96.0
OPEN PALM,OPEN PALM,96.0
OPEN PALM,OPEN PALM,94.0
OPEN PALM,OPEN PALM,94.66666666666667
OPEN PALM,OPEN PALM,95.33333333333334
OPEN PALM,OPEN PALM,95.33333333333334
OPEN PALM,OPEN PALM,94.66666666666667
OPEN PALM,OPEN PALM,95.33333333333334
OPEN PALM,OPEN PALM,95.33333333333334
OPEN PALM,OPEN PALM,95.33333333333334
OPEN PALM,OPEN PALM,94.66666666666667
OPEN PALM,OPEN PALM,95.33333333333334
OPEN PALM,OPEN PALM,95.33333333333334
OPEN PALM,OPEN PALM,95.33333333333334
OPEN PALM,OPEN PALM,96.0
OPEN PALM,OPEN PALM,96.0
OPEN PALM,OPEN PALM,96.0
OPEN PALM,OPEN PALM,95.33333333333334
OPEN PALM,OPEN PALM,95.33333333333334
OPEN PALM,OPEN PALM,95.33333333333334
OPEN PALM,OPEN PALM,94.66666666666667
OPEN PALM,OPEN PALM,94.0
OPEN PALM,OPEN PALM,95.33333333333334
OPEN PALM,OPEN PALM,94.0
OPEN PALM,OPEN PALM,95.33333333333334
OPEN PALM,OPEN PALM,94.0
OPEN PALM,OPEN PALM,94.66666666666667
OPEN PALM,OPEN PALM,94.66666666666667
OPEN PALM,OPEN PALM,94.66666666666667
OPEN PALM,OPEN PALM,94.66666666666667
OPEN PALM,OPEN PALM,95.33333333333334
OPEN PALM,OPEN PALM,95.33333333333334
OPEN PALM,OPEN PALM,95.33333333333334
OPEN PALM,OPEN PALM,94.66666666666667
OPEN PALM,OPEN PALM,95.33333333333334
OPEN PALM,OPEN PALM,95.33333333333334
OPEN PALM,OPEN PALM,94.66666666666667
OPEN PALM,OPEN PALM,96.0
OPEN PALM,OPEN PALM,95.33333333333334
OPEN PALM,OPEN PALM,95.33333333333334
OPEN PALM,OPEN PALM,96.0
OPEN PALM,OPEN PALM,95.33333333333334
OPEN PALM,OPEN PALM,95.33333333333334
OPEN PALM,OPEN PALM,96.0
OPEN PALM,OPEN PALM,94.66666666666667
OPEN PALM,OPEN PALM,96.66666666666667
OPEN PALM,OPEN PALM,96.66666666666667
OPEN PALM,OPEN PALM,96.0
OPEN PALM,OPEN PALM,96.66666666666667
OPEN PALM,OPEN PALM,96.66666666666667
OPEN PALM,OPEN PALM,96.0
OPEN PALM,OPEN PALM,96.0
OPEN PALM,OPEN PALM,96.66666666666667
OPEN PALM,OPEN PALM,96.0
OPEN PALM,OPEN PALM,94.66666666666667
OPEN PALM,OPEN PALM,95.33333333333334
OPEN PALM,OPEN PALM,94.66666666666667
OPEN PALM,OPEN PALM,95.33333333333334
OPEN PALM,OPEN PALM,94.0
OPEN PALM,OPEN PALM,94.0
